epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5782.66,1.67979,1.33734,1.03213,0.36705,0.26565,0.24998,0.13951,1.51363,1.19156,0.97803,0.0079705,0.0079705,0.0079705
43,5916.78,1.66465,1.32485,1.02856,0.3931,0.26405,0.25356,0.14174,1.50607,1.18065,0.97681,0.007921,0.007921,0.007921
44,6065.64,1.67171,1.32787,1.02864,0.36588,0.27287,0.25472,0.14238,1.50234,1.17545,0.97612,0.0078715,0.0078715,0.0078715
45,6203.32,1.66491,1.31821,1.0296,0.37309,0.27021,0.2559,0.14245,1.49941,1.17499,0.97606,0.007822,0.007822,0.007822
46,6336.79,1.66378,1.31964,1.02692,0.35811,0.27879,0.25801,0.14374,1.49804,1.16947,0.9747,0.0077725,0.0077725,0.0077725
47,6475.77,1.65557,1.30879,1.02489,0.37153,0.27888,0.26065,0.14555,1.49483,1.16339,0.9722,0.007723,0.007723,0.007723
48,6612.68,1.65353,1.30748,1.02413,0.37675,0.27549,0.26127,0.14623,1.49151,1.1625,0.97177,0.0076735,0.0076735,0.0076735
49,6742.69,1.65305,1.30155,1.0217,0.37837,0.28027,0.26305,0.14741,1.48905,1.15698,0.97203,0.007624,0.007624,0.007624
50,6884.15,1.66215,1.30874,1.02381,0.37783,0.28211,0.26467,0.14832,1.48311,1.1579,0.97083,0.0075745,0.0075745,0.0075745
51,7032.77,1.64247,1.2999,1.02207,0.38058,0.28131,0.26505,0.14883,1.48308,1.15466,0.97059,0.007525,0.007525,0.007525
52,7168.85,1.64767,1.29307,1.01784,0.38226,0.28474,0.26858,0.1511,1.47859,1.14506,0.96878,0.0074755,0.0074755,0.0074755
53,7300.81,1.64291,1.29634,1.01927,0.37776,0.2864,0.26706,0.15,1.47938,1.14895,0.96918,0.007426,0.007426,0.007426
