epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6749.88,1.68615,1.36359,1.03699,0.39341,0.25543,0.24404,0.13594,1.52131,1.21214,0.98377,0.007921,0.007921,0.007921
44,6880.63,1.69829,1.36779,1.03938,0.35082,0.25991,0.24416,0.13589,1.52078,1.20914,0.98342,0.0078715,0.0078715,0.0078715
45,7014.84,1.68653,1.36004,1.03818,0.35309,0.26402,0.24682,0.13744,1.51366,1.20138,0.98178,0.007822,0.007822,0.007822
46,7147.42,1.68655,1.35452,1.03634,0.36123,0.26145,0.24814,0.13769,1.51322,1.20075,0.98145,0.0077725,0.0077725,0.0077725
47,7274.7,1.67631,1.34616,1.03292,0.34711,0.26679,0.24816,0.13841,1.51116,1.19457,0.97927,0.007723,0.007723,0.007723
48,7405.26,1.67611,1.34411,1.03303,0.36244,0.26485,0.25044,0.13988,1.50713,1.19146,0.97945,0.0076735,0.0076735,0.0076735
49,7535.81,1.6748,1.33651,1.0306,0.37208,0.26526,0.25294,0.14175,1.50293,1.18388,0.97769,0.007624,0.007624,0.007624
50,7667.29,1.68591,1.34613,1.03303,0.36225,0.26683,0.25318,0.14123,1.50202,1.18294,0.97762,0.0075745,0.0075745,0.0075745
51,7798.94,1.66506,1.3359,1.03165,0.37307,0.26695,0.25506,0.14232,1.49542,1.17863,0.97621,0.007525,0.007525,0.007525
52,7933.96,1.66762,1.3276,1.02626,0.3765,0.26493,0.25701,0.14398,1.49544,1.17434,0.97503,0.0074755,0.0074755,0.0074755
53,8065.68,1.66416,1.32878,1.02785,0.36547,0.27059,0.25776,0.14456,1.49431,1.17353,0.97546,0.007426,0.007426,0.007426
54,8198.29,1.65743,1.32396,1.02805,0.37746,0.27088,0.26012,0.14516,1.48888,1.16412,0.97401,0.0073765,0.0073765,0.0073765
55,8331.11,1.65824,1.32087,1.02609,0.38867,0.26833,0.26148,0.14641,1.48645,1.16335,0.97271,0.007327,0.007327,0.007327
56,8462.16,1.65555,1.3231,1.02696,0.38001,0.27177,0.26252,0.1473,1.48171,1.15904,0.97114,0.0072775,0.0072775,0.0072775
57,8594.96,1.65134,1.31786,1.0227,0.3729,0.27426,0.26372,0.14818,1.48358,1.15692,0.97122,0.007228,0.007228,0.007228
58,8726.65,1.64972,1.31085,1.02233,0.37527,0.27535,0.26405,0.14915,1.4778,1.15246,0.97053,0.0071785,0.0071785,0.0071785
59,8856.07,1.64791,1.30546,1.01958,0.37734,0.277,0.26444,0.14894,1.47604,1.15116,0.97007,0.007129,0.007129,0.007129
60,8985.32,1.65341,1.30925,1.01964,0.3898,0.27818,0.2666,0.15034,1.47353,1.14702,0.96879,0.0070795,0.0070795,0.0070795
61,9113.62,1.6457,1.30807,1.02095,0.40927,0.27566,0.26723,0.15042,1.47125,1.14413,0.96833,0.00703,0.00703,0.00703
62,9237.15,1.638,1.29544,1.02021,0.3802,0.27587,0.26776,0.15079,1.47346,1.14365,0.96867,0.0069805,0.0069805,0.0069805
63,9364.9,1.63442,1.29262,1.01777,0.37518,0.27921,0.26814,0.15112,1.46741,1.13929,0.96709,0.006931,0.006931,0.006931
64,9489.92,1.63732,1.29647,1.02079,0.37512,0.28736,0.2694,0.15183,1.46654,1.13605,0.96691,0.0068815,0.0068815,0.0068815
65,9615.53,1.63434,1.29553,1.01824,0.37244,0.28396,0.2703,0.15231,1.46441,1.13344,0.96591,0.006832,0.006832,0.006832
66,9737.5,1.6359,1.29721,1.01936,0.38713,0.28319,0.27127,0.15285,1.4643,1.13398,0.96669,0.0067825,0.0067825,0.0067825
67,9859.16,1.64221,1.29466,1.02052,0.39172,0.28184,0.27267,0.15392,1.46234,1.13084,0.96593,0.006733,0.006733,0.006733
68,9978.9,1.63506,1.29064,1.02057,0.38265,0.28501,0.27357,0.15402,1.46226,1.12973,0.96539,0.0066835,0.0066835,0.0066835
69,10096.8,1.63082,1.28088,1.01166,0.38956,0.28326,0.27455,0.15511,1.45822,1.12595,0.96347,0.006634,0.006634,0.006634
70,10217.9,1.61869,1.27356,1.01631,0.3991,0.28424,0.27499,0.15562,1.45366,1.12233,0.96329,0.0065845,0.0065845,0.0065845
71,10339.7,1.62791,1.28038,1.0156,0.39387,0.28859,0.27705,0.15607,1.45564,1.12087,0.96352,0.006535,0.006535,0.006535
72,10460.8,1.6256,1.27618,1.0104,0.38267,0.29102,0.27872,0.15695,1.45534,1.11938,0.96322,0.0064855,0.0064855,0.0064855
73,10581,1.62081,1.26907,1.01311,0.40229,0.2878,0.27676,0.15597,1.45335,1.11698,0.96212,0.006436,0.006436,0.006436
74,10703.8,1.61828,1.26879,1.00959,0.39176,0.28809,0.27831,0.15713,1.45011,1.11695,0.96118,0.0063865,0.0063865,0.0063865
75,10825,1.6152,1.26253,1.0132,0.40218,0.28836,0.27935,0.15795,1.44989,1.11352,0.96111,0.006337,0.006337,0.006337
76,10944.5,1.61458,1.26329,1.01107,0.38923,0.29183,0.28101,0.15859,1.44877,1.11144,0.9607,0.0062875,0.0062875,0.0062875
77,11062.4,1.61372,1.26156,1.01262,0.39603,0.29232,0.28157,0.15974,1.44694,1.10782,0.96019,0.006238,0.006238,0.006238
78,11182.8,1.61478,1.26075,1.0094,0.39102,0.29387,0.2826,0.15993,1.44663,1.10697,0.95974,0.0061885,0.0061885,0.0061885
79,11302.1,1.60451,1.25015,1.01061,0.39593,0.29356,0.28487,0.16109,1.44278,1.1037,0.95928,0.006139,0.006139,0.006139
80,11421.7,1.61094,1.25624,1.00979,0.39843,0.29459,0.2846,0.16068,1.44385,1.10249,0.9592,0.0060895,0.0060895,0.0060895
81,11541.4,1.60908,1.25781,1.00994,0.41589,0.29211,0.28342,0.16051,1.44135,1.10165,0.95854,0.00604,0.00604,0.00604
82,11660.7,1.6027,1.25128,1.00438,0.40346,0.29206,0.28348,0.16072,1.44079,1.10038,0.95766,0.0059905,0.0059905,0.0059905
83,11781,1.60405,1.24877,1.0094,0.41334,0.29095,0.28524,0.16137,1.43861,1.0989,0.95736,0.005941,0.005941,0.005941
84,11899,1.59686,1.24478,1.00708,0.42948,0.29028,0.28605,0.16199,1.43774,1.09817,0.95678,0.0058915,0.0058915,0.0058915
85,12016.6,1.59743,1.24067,1.00338,0.40478,0.29431,0.28737,0.16292,1.43672,1.09582,0.95671,0.005842,0.005842,0.005842
86,12133.6,1.59918,1.24552,1.0062,0.40405,0.29527,0.28777,0.16304,1.43687,1.09619,0.9564,0.0057925,0.0057925,0.0057925
87,12251.4,1.60035,1.24452,1.00643,0.40453,0.29551,0.28781,0.16296,1.43667,1.09581,0.95596,0.005743,0.005743,0.005743
88,12371.8,1.59902,1.24952,1.00477,0.39892,0.29906,0.28808,0.1632,1.43432,1.09589,0.95542,0.0056935,0.0056935,0.0056935
89,12491.8,1.59396,1.23969,1.00294,0.40837,0.29719,0.28822,0.16382,1.43333,1.09311,0.95491,0.005644,0.005644,0.005644
90,12610,1.58724,1.23954,1.00367,0.4008,0.29943,0.2888,0.16377,1.43232,1.09179,0.95479,0.0055945,0.0055945,0.0055945
91,12729.5,1.59554,1.23758,1.00379,0.40576,0.29931,0.29,0.16488,1.43153,1.08926,0.9545,0.005545,0.005545,0.005545
92,12849.3,1.59131,1.23357,1.00285,0.4064,0.29929,0.29042,0.16511,1.4297,1.08825,0.95402,0.0054955,0.0054955,0.0054955
93,12969.3,1.59056,1.23175,1.00362,0.40812,0.29757,0.29073,0.16552,1.42995,1.08756,0.95399,0.005446,0.005446,0.005446
94,13085.8,1.5878,1.23144,1.00063,0.40869,0.29784,0.29177,0.16608,1.42757,1.08485,0.95352,0.0053965,0.0053965,0.0053965
95,13204.1,1.59144,1.23036,1.00132,0.41221,0.29858,0.29151,0.16571,1.42803,1.08501,0.95339,0.005347,0.005347,0.005347
96,13321.9,1.58683,1.22873,1.00161,0.40738,0.30168,0.29242,0.16638,1.42611,1.08282,0.95296,0.0052975,0.0052975,0.0052975
97,13440.6,1.58579,1.22698,1.00012,0.40499,0.3027,0.29326,0.16678,1.42534,1.08314,0.95231,0.005248,0.005248,0.005248
98,13561.1,1.58081,1.22367,1.00443,0.3987,0.30311,0.29339,0.16707,1.4242,1.08182,0.95172,0.0051985,0.0051985,0.0051985
99,13680.8,1.58457,1.22527,0.99993,0.40161,0.3041,0.29344,0.16681,1.42369,1.0808,0.95175,0.005149,0.005149,0.005149
100,13799.7,1.58181,1.22328,0.99875,0.40831,0.30396,0.29369,0.16713,1.42279,1.08008,0.95137,0.0050995,0.0050995,0.0050995
101,13919.6,1.57005,1.21568,0.99889,0.40724,0.30445,0.29439,0.16788,1.4224,1.07775,0.9516,0.00505,0.00505,0.00505
102,14039.4,1.58075,1.22285,1.00172,0.40945,0.30391,0.29483,0.16833,1.42093,1.07556,0.95134,0.0050005,0.0050005,0.0050005
103,14161.4,1.57343,1.21501,0.99854,0.4125,0.30426,0.29561,0.16872,1.42011,1.07355,0.95095,0.004951,0.004951,0.004951
104,14278.5,1.57372,1.20919,0.99578,0.40999,0.30527,0.29602,0.16918,1.42001,1.07285,0.95055,0.0049015,0.0049015,0.0049015
105,14396.4,1.57871,1.21787,0.99918,0.41619,0.30387,0.29662,0.16946,1.41886,1.07255,0.95006,0.004852,0.004852,0.004852
106,14515.4,1.5741,1.21345,0.99665,0.41628,0.30467,0.297,0.16962,1.41843,1.07201,0.94999,0.0048025,0.0048025,0.0048025
